cluster_id,canonical_skill
1852,lawn maintenance
738,layout planning
898,leadership coaching
2288,leak detection
640,lean manufacturing techniques
292,learning strategies
907,learning style analysis
1173,learning support
1091,learning theories
2674,leather working techniques
2022,leave time tracking
1071,lecture delivery
1049,legal interpretation
1046,legal knowledge
1056,legal precedent analysis
1039,legal research
2096,legal terminology application
1044,legal writing
121,legislative analysis
2759,lens alignment
2757,lens cleaning procedures
1641,lens fabrication
1644,lens grinding
2755,lens inspection methods
1387,lens management
2754,lens mounting techniques
2761,lens quality control
2509,lens system adjustment
1087,lesson planning
2205,leveling
2314,leveling and alignment
1270,liaison skills
1159,library operations
1164,library systems
1954,lifestyle education
2792,lifting and moving
1699,light cleaning
1693,light housekeeping
706,light source design
2843,lighting adequacy assessment
1907,lighting adjustment
1248,lighting planning
1214,lighting techniques
1708,linens management
1133,literacy training
1102,literature analysis
527,literature review
595,load assessment
2861,load attachment
2548,load management
2860,load positioning
2817,load securing
2848,loading procedures
372,loan application review
388,loan approval
2044,loan documentation
386,loan processing
1934,local information provision
1928,local knowledge
2069,location determination
2538,lock adjusting
1769,lock and gate inspection
2534,lock configuration management
2530,lock mechanism analysis
2532,lock repair
2536,locksmithing techniques
2365,locomotive maintenance
2159,log evaluation
2157,log grading
1373,log maintenance
2152,log measurement
2163,log sorting
2164,log tracking
418,logical analysis
449,logical reasoning
103,logistics management
2704,loose fiber stuffing
218,loss investigation
215,loss prevention strategies
1885,lost and found management
1874,lost item recovery
2236,lubrication techniques
1925,luggage handling
819,machine learning
2597,machine setup and operation
1192,machining
882,magnetic field measurement
1611,magnetic resonance imaging
2117,mail addressing
2119,mail collection
2083,mail delivery
2079,mail dispatch
2076,mail examination
197,mail handling
2118,mail postage affixation
2121,mail quality control
2116,mail routing
2074,mail sorting
2120,mail transfer
2078,mail transportation
2551,maintenance documentation
2596,maintenance skills
1902,makeup application
2770,malfunction detection
2777,manual dexterity
2368,manual labor
755,manufacturing efficiency
1334,manuscript evaluation
2126,manuscript review
555,map accuracy evaluation
549,map creation
776,map editing
1064,map interpretation
2818,map reading
774,mapmaking
643,marine engineering
2146,marine life handling
2529,marine life observation
2830,maritime rescue techniques
1981,market condition updates
1993,market knowledge
2030,market monitoring
29,market research
1979,market terms explanation
2161,market value determination
308,marketing materials design
17,marketing strategies
2375,marking and alignment
2112,masking
2171,masonry techniques
1572,massage and soft tissue mobilization
1558,massage techniques
2533,master key system management
623,material analysis
2202,material application
2232,material distribution
2165,material estimation
2731,material examination
629,material flow
59,material handling
2162,material identification
2677,material joining
2565,material manipulation
2732,material marking
2179,material measurement
2220,material mixing
111,material movement
2634,material positioning
859,material preparation
2594,material processing
2602,material removal
2511,material requisitioning
2613,material sampling
2405,material separation
2670,material sequencing
2748,material shaping techniques
2865,material sorting
594,material stress calculation
2372,material supply
2325,material transfer
652,materials science
983,materials testing
474,mathematical analysis
245,mathematical calculations
2604,mathematical calculations and applications
735,mathematical formulas
288,mathematical modeling
1960,mathematical operations
955,mathematical procedures
380,mathematical reasoning
2054,mathematical skills
518,mathematical theories
104,mathematics
2183,measurement and calculation
2177,measurement and layout
2257,measurement and marking
2208,measurement skills
2703,measuring and cutting
2584,meat cutting techniques
1822,meat preparation
2470,mechanical aptitude
654,mechanical design
2485,mechanical door repair
2483,mechanical duties
618,mechanical knowledge
2574,mechanical manipulation
2447,mechanical system adjustment
2352,mechanical systems installation
744,mechanical systems troubleshooting
857,mechanical testing
2472,mechanism adjustment
2518,mechanism expertise
2523,mechanism inspection
2473,mechanism replacement
2445,mechanism verification
694,mechatronic system design
32,media coordination
1267,media planning
1393,media production standards
1309,media promotion
1276,media relations
28,media selection
241,mediation skills
1734,medical abbreviation translation
1530,medical analysis
1733,medical coding
2747,medical device fabrication
1503,medical device management
915,medical diagnosis
584,medical diagnostic equipment design
1619,medical dosimetry education
1607,medical ethics
1483,medical information analysis
1657,medical information collection
1661,medical instrument preparation
845,medical principle teaching
1742,medical procedure support
1918,medical referral advice
179,medical research
1440,medical supply management
1731,medical terminology
1424,medication administration
1433,medication safety
515,meeting facilitation
1178,memory skills development
896,mental health assessment
1014,mental health education
1020,mental health support
850,mentoring
1420,menu planning
1789,merchandise appraisal
206,merchandise delivery
232,merchandise evaluation
2004,message recording
465,metadata management
2614,metal casting processes
1809,metal detector operation
2610,metal properties
2312,metal shaping techniques
2643,metal surface quality control
2601,metal tempering
2073,meter reading
806,microbial analysis
695,microelectromechanical systems design
846,microorganism identification
807,microscope use
952,microscopic examination
1579,microscopic techniques
1586,microscopy techniques
668,mine design
876,mineral identification
670,mitigation strategy development
1700,mobility assistance
1458,mobility device training
1467,mobility enhancement
340,mock-disaster exercises
1721,modalities administration
2618,model building
2743,model evaluation
941,modeling and simulation
2615,mold assembly
2631,mold section alignment
2627,mold surface repair
801,molecular analysis
820,molecular biology
540,molecular data interpretation
711,molecular physics
1036,moral guidance
2172,mortar application
2209,mortar mixing
690,motion control techniques
1215,motion simulation
1284,motivational counseling
1136,motivational techniques
2461,motorcycle repair techniques
1894,mourner guidance
1290,movement analysis
1560,moxibustion
2388,mud report preparation
1216,multimedia campaign development
1817,multitasking
1728,muscle strength assessment
1394,musculoskeletal diagnosis
1668,musculoskeletal injury evaluation
1398,musculoskeletal system correction
1158,museum collection management
1296,music composition
1308,music education
1313,music selection
1301,music theory
1491,music therapy planning
1311,musical adaptability
1297,musical arrangement
1285,musicality
1912,nail art decoration
1911,nail care advice
1910,nail polishing
1909,nail shaping
716,nano-enabled product design
712,nanoscale materials synthesis
715,nanotechnology research
879,natural disaster risk assessment
1568,natural medicine administration
826,natural resource management
2428,navigation system installation
2680,needle preparation
39,negotiation
364,neighborhood evaluation
1656,nervous system function evaluation
467,network administration
2410,network coverage analysis
432,network design
437,network documentation
425,network equipment configuration
438,network hardware selection
428,network integration
301,network modeling
436,network operations management
434,network performance analysis
68,network security
439,network software development
403,network troubleshooting
440,network upgrade planning
227,networking
914,neurobehavioral analysis
910,neurobehavioral diagnosis
1526,neuroimaging interpretation
1660,neurological disorder diagnosis
1525,neurological examination
1528,neurological service coordination
1973,new market identification
1691,newborn care
1320,news research techniques
2263,noise reduction
763,non-destructive testing
261,nondiscriminatory employment practices
1137,note taking skills
671,nuclear energy management
673,nuclear fuel cycle management
672,nuclear safety protocols
519,numerical analysis
2009,numerical data classification
410,nursing informatics
1506,nursing leadership
2150,nutrient retention
1672,nutrition and conditioning advice
1703,nutrition and dietary management
1550,nutrition and hydration education
1622,nutrition counseling
1105,nutrition education
795,nutrition studies
781,nutritional requirements
1153,object conservation
1475,observation and analysis
1795,observation techniques
2547,obstacle navigation
1631,ocular dimension measurement
1634,ocular motility assessment
1022,offender assessment
2032,office administration
1095,office hours management
2092,office memo drafting
2089,office software
676,oil and gas recovery
2838,oil changes
1628,operating room setup
1443,operating room supply management
967,operation and control
171,operational analysis
2719,operational data management
669,operational effectiveness assessment
304,operational improvement
169,operational integrity
93,operational procedures
73,operational reporting
23,operations monitoring
1553,ophthalmic consultation
1663,ophthalmic equipment operation
1665,ophthalmic triage
2753,optical element assembly
2760,optical element coating
2756,optical element shaping
773,optical equipment operation
1638,optical prescription analysis
701,optical system setup
521,optimization techniques
1567,oral cancer detection
936,oral history recording
1407,oral surgery
342,order fulfillment
1876,order maintenance
1886,order management
1799,order preservation
2048,order processing
2049,order verification
1115,organization
1183,organization and planning
306,organizational development
132,organizational goal alignment
1138,organizational skills
1413,orthodontic procedures instruction
1129,orthopedic impairment support
2580,oven temperature control
1798,oversight and security
1930,package delivery
2084,package handling
791,packaging techniques
1466,pain management
2439,paint application
2264,paint mixing and matching
2707,painting and staining
1204,painting techniques
1892,pallbearer duties
2440,panel removal
2653,paper handling techniques
1602,paraffin wax embedding
1110,parent communication
2837,parking management
1783,parking regulations knowledge
1957,participation encouragement
2628,parting agent application
146,partnership building
2811,passenger assistance
1810,passenger management
1802,passenger monitoring
2819,passenger safety
1806,pat-down searches
810,pathogen identification
1594,pathological condition detection
1532,pathology reporting
1471,patient care
1090,patient care techniques
1531,patient communication
1439,patient continuity of care
1595,patient data documentation
1623,patient data entry
912,patient education
1436,patient history
1617,patient immobilization
407,patient information security
1706,patient mobility techniques
1434,patient monitoring
1520,patient positioning
1508,patient recovery
1712,patient restriction management
2813,patient transfer techniques
1705,patient transportation
1749,patrol procedures
1873,patron conduct
1914,patron needs assessment
2043,patron registration
1165,patron services
2683,pattern adherence
2619,pattern assembly
2675,pattern cutting
2622,pattern finishing
1194,pattern making
2271,pattern matching
2698,pattern optimization
2624,pattern positioning
2693,pattern reading
1777,pattern recognition
2714,pattern record keeping
2630,pattern removal techniques
2717,pattern repair
2363,pavement repair techniques
2376,paver cutting
2369,paver installation
2374,paver layout design
2002,payment collection
242,payment processing
2024,payroll data analysis
2017,payroll record management
2019,payroll system operation
1096,pedagogy
1800,pedestrian management
312,pension program management
1125,perceptual motor skills
124,performance management
420,performance standards development
1906,period setting knowledge
1884,period style analysis
1695,personal care assistance
1120,personal development counseling
1167,personal finance
997,personal growth
291,personnel coordination
25,personnel management
1205,perspective drawing
311,persuasion
1327,persuasive communication
799,pest control
1847,pest identification
1872,pet care advice
1430,pharmaceutical knowledge
1570,pharmacological knowledge
1625,pharmacy operations
1740,phlebotomy procedures
986,photo mosaics creation
565,photogrammetric map compilation
2765,photographic reproduction techniques
356,photography
1386,photography software
709,photonic design history creation
771,photonic test data recording
702,photonics prototyping
2323,photovoltaic system maintenance
1477,physical and mental well-being improvement
1464,physical assessment
1286,physical awareness
1261,physical comedy
1274,physical conditioning
1107,physical education
975,physical evidence analysis
1437,physical examination techniques
1551,physical fitness assessment
1279,physical fitness maintenance
1772,physical force management
2144,physical labor
1291,physical proficiency
953,physical properties testing
357,physical property documentation
63,physical security
1924,physical stamina
1714,physical support
1450,physical therapy techniques
1604,physiological data analysis
1484,physiological testing
2234,piling installation
2281,pipe assembly and fitting
2277,pipe cutting
602,pipe installation
2279,pipe laying
2283,pipe maintenance and upkeep
2280,pipe repair methods
2284,pipe system troubleshooting
2282,pipe testing and inspection
1007,placement support
1939,plan adaptation
1225,plant care
1856,plant diagnosis
798,plant physiology
1648,plaster casting
2441,plastic panel repair
2654,plate securing methods
2169,plate shaping techniques
1348,plot development
2741,plot diagram creation
2292,plumbing insulation
2540,plumbing system installation
2286,plumbing techniques
2436,pneumatic systems
1829,point of sale
2502,pole erection
255,police procedures
1976,policy administration
317,policy and regulation advising
262,policy communication
1974,policy customization
1,policy development
2517,polishing techniques
962,pollutant measurement
809,pollution detection
1547,population health management
2744,porcelain handling
84,portfolio management
1814,portion control
691,position sensing
1688,post-birth care
2075,postage calculation
2359,posthole digging
1729,posture guidance
2718,power distribution
578,power distribution systems
659,power electronics
2723,power generation
2497,power line inspection
1191,power tool operation
2235,pre-operational checks
1426,pre-operative care
2606,precision adjustment
947,precision agriculture
2637,precision alignment
2571,precision assembly
2521,precision cleaning methods
2739,precision craftsmanship
2360,precision cutting
686,precision equipment design
2772,precision execution
2752,precision lens polishing
588,precision measurement
2478,precision record keeping
1689,pregnancy management
1686,prenatal care
1624,prescription preparation
1368,presentation equipment operation
178,presentation skills
1344,presentation techniques
1891,preservation fluid handling
935,preservation methods
2598,press operation
2392,pressure control
692,pressure sensing
2167,pressure vessel inspection
1524,preventative care
993,prevention programs
34,pricing strategies
1512,primary care procedures
2648,printing plate production
1206,printing techniques
1767,prisoner behavior monitoring
1763,prisoner escort
1771,prisoner record keeping
516,probability theory
1021,probation and parole management
176,problem analysis
2471,problem identification
390,problem resolution
5,problem solving
335,problem-solving and adaptability
1964,procedural adherence
54,procedure establishment
100,process control
699,process control checklists
155,process design
586,process optimization
1895,processional management
56,procurement
2000,product advantages
1250,product arrangement
2780,product casting
1996,product configuration
2678,product construction
323,product demand forecasting
1988,product demonstration
343,product description writing
636,product design
33,product development
1219,product evaluation
2879,product flow management
2778,product formation
160,product innovation
2588,product integrity
234,product introduction
389,product knowledge
2790,product monitoring
1967,product presentation
280,product recall coordination
756,product reliability
346,product research
2592,product sampling
1921,product selection
2776,product shaping
230,product sourcing
91,product testing
638,product validation
630,production coordination
2612,production data analysis
1168,production issue resolution
87,production planning
913,professional development
903,professional knowledge
369,profitability analysis
1956,program adaptation
209,program development
13,program evaluation
2035,program knowledge
405,programming
745,programming and installation
2617,programming cnc machines
1374,programming substitution
1722,progress documentation
916,progress monitoring
154,project evaluation
151,project feasibility analysis
15,project management
830,project monitoring
864,project scheduling
1317,promotional appearance
1341,proofreading techniques
2459,propeller maintenance
2474,proper alignment
561,property boundary determination
365,property condition assessment
1992,property evaluation
1995,property marketing
1061,property ownership verification
1791,property protection
86,property valuation
153,proposal presentation
544,proposal writing
2003,prospect list development
1414,prosthesis design
1651,prosthetic and orthotic appliances
1903,prosthetic attachment
1451,prosthetic device fitting
2266,protective covering application
971,protective gear usage
2863,protective treatments
818,proteomics
159,prototype development
497,prototyping
620,psychological knowledge
1142,public access policy
1760,public assistance
309,public awareness
202,public education
1569,public health reporting
847,public health research
1324,public image management
2077,public interaction
939,public opinion analysis
600,public presentation
49,public relations
592,public works planning
1335,publication planning
2386,pump operation
2123,punctuation techniques
108,purchasing procedures
568,quality assessment
535,quality control audits
94,quality control policy formulation
174,quality improvement
2295,quality judgment
220,quantitative methods
1938,question response
969,radiation detection
968,radiation safety
1470,radiation therapy
1615,radiation treatment planning
1312,radio broadcasting
764,radiography techniques
1608,radioisotope equipment operation
1609,radiopharmaceutical administration
2822,railway safety protocols
1723,range of motion evaluation
831,range planning
1492,rapport building
1336,readability enhancement
268,reading comprehension
1994,real estate law
360,real estate market analysis
366,real estate market trends
1356,real-time decision making
2419,reassembly and adjustment
2333,reassembly techniques
2299,rebar bending
2306,rebar fastening
1419,recipe development
2591,recipe following
2080,recipient signature management
50,record keeping
835,recreational activity planning
2799,recycling operations
2125,reference checking
841,reforestation techniques
1632,refractive condition assessment
1666,refractive error calculation
2237,refueling and maintenance
2490,regulator installation
250,regulatory advice
281,regulatory database management
212,regulatory knowledge
279,regulatory policy development
282,regulatory procedure development
283,regulatory risk management
278,regulatory submission
911,rehabilitation planning
1306,rehearsal techniques
2302,reinforcement material securing
2304,reinforcing element installation
1023,reintegration planning
228,relationship building
1730,relaxation techniques
697,reliability analysis
1033,religious education
272,remains management
750,remediation techniques
558,remote sensing
684,renewable energy systems
57,renovation planning
246,repair cost analysis
2544,repair planning
1883,repair skills
2458,repairing complex systems
387,repayment scheduling
53,report analysis
2037,report generation
66,report writing
700,reporting
419,requirements analysis
587,research and development
1469,research application
524,research design
18,research methods
1529,research participation
895,research planning
1485,research presentation
1083,research publication
1047,research skills
186,research staff instructing
2567,resin application
964,resource exploration
667,resource extraction planning
167,resource monitoring
974,resource preservation
1029,resource referral
1478,respiratory care
1502,respiratory function assessment
1952,rest period management
867,restoration planning
1889,restorative surgery
1062,restriction identification
1838,restroom maintenance
1968,return and exchange management
837,revegetation techniques
302,reverse logistics management
504,revision control
1345,revision skills
1287,rhythm and tempo
1879,ride operations
2313,rigging and hoisting
2545,rigging system setup
1866,rigging techniques
714,rigorous testing
2862,rinsing and drying
917,risk communication
9,risk management
710,robotics development
747,robotics maintenance
877,rock classification
2401,rock support systems
1257,role development
2192,rolling and forming techniques
2307,roof inspection
2290,roof penetration
2309,roof preparation
2342,roof repair
2038,room assignment
1947,route familiarity
1459,route navigation
1942,route planning
2788,rubber processing
2827,rust removal
2537,safe repair
1745,safety and welfare
2353,safety controls adjustment
2796,safety information communication
2492,safety valve maintenance
40,sales forecasting
1987,sales negotiation
1959,sales strategy development
31,sales techniques
43,sales territory management
1642,sales tracking
247,salvage value determination
961,sample collection
2729,sample examination
1741,sample labeling
956,sample preparation
253,sampling techniques
2377,sand filling and compaction
2199,sanding
2293,scaffolding setup
556,scale and projection determination
1916,scalp condition treatment
1913,scalp health monitoring
134,scheduling
1152,scholarly writing
471,science
787,scientific communication
959,scientific documentation
861,scientific guidance
721,scientific knowledge
1073,scientific literacy
1577,scientific paper presentation
2616,scrap metal management
2231,screed temperatures
1517,screening program development
1256,script analysis
1314,script writing
2195,seam placement
2274,seamless finishing techniques
1781,search and rescue
331,search engine optimization
2852,seating arrangements
398,securities trading
65,security breach investigation
350,security documentation
61,security policy development
348,security protocols
1764,security screening
508,security standards
352,security system installation
349,security training
1117,self advocacy
2764,semiconductor material handling
2065,sensitive database management
950,sensor installation
688,sensor integration
888,sensor systems development
1460,sensory information utilization
1175,sensory-motor skills development
1050,sentence imposition
485,server-side code optimization
1006,service coordination
200,service delivery
395,service fee calculation
1084,service orientation
2456,service record keeping
1252,set design
1048,settlement negotiation
2676,sewing machine operation
2682,sewing techniques
2668,shape manipulation
1900,shaving techniques
2454,sheet metal repair
2058,shipping documentation
1242,shop drawing detail
2605,shop math and layout techniques
2842,signal effectiveness assessment
2821,signal interpretation
2831,signal processing
1375,signal strength adjustment
2411,signal strength testing
513,simulation software
546,site analysis
1986,site assessment
1943,site knowledge
949,site management
740,site monitoring
2226,site preparation
2155,site selection
720,site specification development
1776,sketching and diagramming
1522,skin analysis
1922,skin care regimens
1901,skin preparation
1658,sleep disorder diagnosis
607,sludge treatment methods
2797,smooth and secure operations
2806,snow removal coordination
1711,social activity organization
998,social adjustment
1169,social advocacy
1004,social awareness
919,social dynamics
1318,social interaction
1328,social media management
927,social pattern analysis
1534,social perception
293,social perceptiveness
918,social research
1011,social service coordination
1012,social support
1009,social work
1855,sod laying
1726,soft tissue analysis
480,software design
426,software installation
470,software licensing
797,soil analysis
221,soil conservation
2371,soil grading
2139,soil preparation
948,soil sampling
2291,solar collector mounting
728,solar project management
722,solar system design
2285,solar system installation
726,solar technology knowledge
2421,soldering skills
177,solution development
2766,solution preparation
164,solvent extraction analysis
2762,solvent handling
2085,sorting and routing
2087,sorting techniques
2519,sound quality evaluation
1253,space management
2798,space optimization techniques
1237,space planning
498,spatial analysis
550,spatial data interpretation
267,speaking
2006,special assistance
1182,special education strategies
1904,special effects creation
1945,special needs accommodation
2522,specialized tool usage
814,species classification
648,specification preparation
1591,specimen collection
1580,specimen preparation
855,spectrophotometry
1354,speech analysis
1326,speech writing
2595,speed control
1358,spelling and grammar
2124,spelling correction
254,spill prevention
1397,spinal adjustment
1032,spiritual guidance
1126,sports and game achievement
1281,sports rules knowledge
1857,spray direction
2763,spray gun operation
2706,spring replacement
75,staff recruitment
42,staff supervision
1310,stage presence
14,stakeholder communication
754,statistical evaluation
656,statistical software
2665,steam application
2725,steam generation
2296,steel bar positioning
2301,steel rod cutting
2450,steering mechanism adjustment
1630,sterile field maintenance
2672,stitching techniques
2840,stock ordering
1229,stock unpacking
2872,stockroom organization
2406,stone analysis
2178,stone carving
2781,stone drilling
2176,stone placement
1736,storage and organization
2873,storage and retrieval
112,storage management
1319,story development
1323,story organization
1217,storyboard creation
489,storytelling techniques
6,strategic planning
168,strategic thinking
339,strategy selection
2513,string adjustment
1357,strong comprehension
248,structural analysis
2305,structural component fitting
2298,structural component installation
804,structural determination
725,structural energy requirements
2242,structural framing
768,structural integrity
2238,structural support
141,student counseling
1104,student engagement
142,student guidance
821,student instruction
1180,student monitoring
1079,student record keeping
1488,studio art therapy
1072,studio management
180,study protocol development
1139,study skills
1254,stylistic consistency
182,subject screening
1005,substance abuse prevention
1015,substance abuse treatment
868,substance flow analysis
1496,supervision of nursing personnel
1157,supervisory skills
26,supply chain management
772,supply ordering
1843,supply replenishment
1396,support device recommendation
1724,supportive device use
2185,surface alignment
1195,surface finishing
2190,surface inspection
2204,surface preparation
2275,surface repair
2222,surface smoothing
2712,surface treatment and protection
1627,surgical instrument handling
1400,surgical procedures
1685,surgical retraction
1683,surgical site assessment
1629,surgical supply management
1519,surgical team coordination
217,surveillance techniques
570,survey data collection
562,survey data interpretation
529,survey design
563,survey instrument calibration
599,surveying techniques
1785,suspect apprehension
12,sustainability strategy execution
541,sustainable design
641,sustainable manufacturing technologies
224,sustainable regeneration
1481,swallowing disorders
2501,switch installation
2823,switch operation
2007,switchboard operation
2720,switching order preparation
173,system administration
404,system design
510,system integration
512,system modeling
511,system scalability
351,system testing
2322,system testing and adjustment
1452,systemic health monitoring
58,systems analysis
1830,table setting
2187,tack strip installation
2688,tailoring skills
125,talent acquisition
229,talent evaluation
2244,tape embedding
1235,target audience research
2021,tax and deduction law compliance
353,tax law knowledge
376,tax planning
393,tax return preparation
1170,teacher coaching
849,teaching
128,teaching techniques
2546,team direction
2854,team guidance
3,team management
2336,team support
300,technical analysis
431,technical assistance
655,technical communication
1388,technical composition
2429,technical diagram interpretation
92,technical documentation
647,technical drawing
1108,technical expertise
157,technical guidance
421,technical innovation
573,technical investigation
149,technical leadership
759,technical manual interpretation
2477,technical manual utilization
1985,technical sales
1161,technical services
336,technical skills and tools
653,technical specifications evaluation
71,technical support
1273,technical training
571,technological advancements
890,technological knowledge maintenance
74,technology assessment
417,technology design
1172,technology integration
441,telecommunications systems design
2091,telephone communication
2001,telephone etiquette
954,temperature control
1818,temperature monitoring
2640,template creation
2641,template fabrication
2734,template positioning
2620,template repair
1351,terminology management
2158,terrain navigation
2225,terrazzo application
908,test administration
958,test compilation
770,test data analysis
477,test execution
476,test planning
757,test procedure development
639,test protocol design
769,test result evaluation
1605,test result reporting
856,test solution preparation
274,testimony
649,testing and installation
475,testing and validation
1337,text rewriting
2656,textile examination
1221,textile knowledge
2695,textile production techniques
2129,textual accuracy
2122,textual integrity
2294,texture creation
2250,texturizing compound application
1247,theme development
920,theory development
1670,therapeutic care
1487,therapeutic communication
1181,therapeutic regimens
1543,therapy prescription
1473,therapy program development
723,thermal analysis
2495,thermal equipment repair
766,thermal imaging
727,thermodynamics understanding
2642,thickness measurement
2671,thread management
2679,thread selection
2684,thread trimming
416,threat analysis
1880,ticket sales
2203,tile installation
842,timber appraisal
7,time management
2023,time sheet review and reconciliation
110,timely delivery
2576,timepiece operation monitoring
2520,timepiece repair techniques
2525,timepiece testing
2524,timing mechanism adjustment
1923,tinting and coloring
2479,tire balancing
2787,tire construction
2480,tire inflation
2789,tire inspection
2465,tire repair
2482,tire rotation
1597,tissue preparation
1601,tissue sectioning
1059,title research
1846,toiletries replenishment
2573,tolerance maintenance
1303,tonal balance
2156,tool sharpening
1563,topical anesthesia administration
553,topographic analysis
1983,tour package sales
2412,tower transmission component installation
717,toxicity reduction
812,toxicology knowledge
2487,track assembly
2367,track inspection
2825,track monitoring
1980,trading practices
598,traffic analysis
2836,traffic signal operation
2845,traffic speed measurement
2844,traffic volume measurement
2820,train operation
2826,train scheduling
21,training and development
219,training coordination
129,training materials design
2029,transaction documentation
1963,transaction reconciliation
1359,transcription techniques
2499,transformer installation
1376,transmission equipment operation
2467,transmission repair
1926,transportation coordination
231,transportation management
2550,transportation preparation
1719,transportation services
942,transportation systems analysis
2148,trapping methods
1128,traumatic brain injury support
1984,travel information
1461,travel instruction
1915,treatment application
1546,treatment monitoring
1493,treatment outcome analysis
899,treatment planning
2151,tree assessment
1861,tree climbing techniques
1863,tree shaping
2154,tree trimming
2276,trench grading
1057,trial preparation
423,troubleshooting
642,troubleshooting manufacturing issues
2338,troubleshooting skills
2514,tuning instruments
2107,typeface management
2103,typing skills
1188,typography selection
765,ultrasonic testing
2526,underwater operations
296,union management
2701,upholstery repair
2699,upholstery techniques
886,urban planning
2442,urethane application
1541,urologic disorder treatment
1542,urology consultation
1539,urology techniques
481,usability testing
430,user education
486,user experience design
333,user experience optimization
633,user interface design
1160,user services
429,user support
500,user training
1833,utensil handling
358,value forecasting
299,value optimization
2875,valve operation
2491,valve repair
2481,valve stem replacement
1823,vegetable preparation
832,vegetation assessment
2149,vegetation management
2444,vehicle frame preparation
1896,vehicle operation
109,vendor management
514,vendor selection
1571,venipuncture and blood sampling
2310,ventilation management
1355,verbatim transcription techniques
2101,verification formats
2173,vertical alignment
644,vessel design
2828,vessel navigation
2147,vessel operation
2835,vessel traffic management
2133,veterinary care coordination
645,vibration studies
1366,video editing skills
1391,video editing software operation
1361,video equipment maintenance
1086,video production
1797,video review
1552,vision health promotion
1576,vision screening
1428,vision therapy
840,visitor services
1429,visual acuity assessment
2841,visual aid creation
1340,visual aids design
2432,visual and auditory reception
1207,visual composition
1185,visual concept development
344,visual content creation
719,visual documentation
1389,visual effects
2566,visual examination
1633,visual field testing
1427,visual hygiene education
1462,visual impairment assessment
1990,visual media posing
1246,visual merchandising
547,visual representation
492,visual storytelling
1422,visual system analysis
1445,vital sign monitoring
1300,vocal direction
1263,vocal techniques
1480,voice disorders
2160,volume estimation
199,volunteer coordination
1037,volunteer management
2012,voucher management
347,vulnerability assessment
2018,wage calculation and deduction
2081,walking navigation
2272,wallcovering installation
2270,wallpaper application techniques
1882,wardrobe management
223,waste management
616,waste treatment and remediation
603,wastewater management
189,water conservation
604,water distribution network design
608,water efficiency programs development
163,water management
194,water rights negotiation
883,water sampling
606,water storage facilities design
190,water supply planning
195,water use monitoring
2308,waterproofing techniques
188,watershed protection
1753,weather analysis
1858,weather consideration
852,weather interpretation
1801,weather monitoring
2382,weather-stripping application
2379,weatherization techniques
2289,weatherproofing
332,web analytics
483,web development
484,web performance optimization
487,web site testing
2705,webbing adjustment
800,weed control
1854,weeding and mulching
2137,weight estimation
2088,weight management
2586,weight measurement
1929,welcoming environment maintenance
2166,welding techniques
965,well logging
2390,well servicing
1758,wildland firefighting training
816,wildlife behavior study
815,wildlife population estimation
2856,winch operation
718,wind farm layout design
1845,window cleaning
2556,wire coiling techniques
2557,wire manipulation
2300,wire mesh placement
2329,wire stripping techniques
2430,wiring and cabling
2425,wiring and soldering
732,wiring diagrams
2251,wiring installation
2418,wiring repair techniques
2317,wiring verification
2716,wood cutting
2702,wood refinishing
2708,wood repair and restoration
2713,wood selection
2198,wood surface treatment
2709,woodworking tools operation
2098,word processing
2331,work area cleaning
2779,work order analysis
2268,work order and instruction reading
2577,work order review
2543,work procedure planning
2608,workpiece inspection
2603,workpiece positioning
637,workplace design
263,workplace discrimination assessment
264,workplace fairness promotion
990,workplace inspection
319,workplace practice improvement
1849,worksite cleaning
2335,worksite organization
2853,worksite preparation
2254,worksite safety management
2864,workspace organization
1704,wound care
1681,wound closure
2662,wrapping techniques
2570,wrinkle elimination
2667,wrinkle removal
1321,writing for different mediums
266,writing skills
1338,writing style improvement
326,written communication
1566,x-ray film development
1395,x-ray interpretation
1804,x-ray machine operation
698,yield improvement
363,zoning regulations knowledge
